Produto_ID,Avaliação,Comentário
1,4.71,Voluptatibus excepturi doloremque quaerat id optio.
2,3.7,Velit vitae cum fuga distinctio ex.
3,4.39,Numquam repudiandae ab molestias pariatur non ipsum.
4,2.14,Ab aliquid ipsum veniam tenetur fugit.
5,1.63,Accusantium vel aliquid animi quisquam recusandae.
6,2.54,Dolorum delectus porro assumenda.
7,3.39,Ad tempora dolores a porro iste rerum.
8,2.92,Tempora temporibus repudiandae quod culpa modi.
9,3.52,Voluptatibus architecto hic assumenda culpa a accusamus sapiente.
10,2.64,Ipsam dolore veniam commodi distinctio.
11,4.82,Qui suscipit itaque delectus aut.
12,4.27,Eos perferendis nam provident nostrum officiis.
13,2.31,Maiores aliquid temporibus tempora ab ex.
14,2.02,Similique totam perspiciatis possimus.
15,4.97,Iusto iste saepe atque.
16,2.44,Quidem iste repudiandae ex nostrum.
17,1.92,Voluptatibus error reiciendis omnis officiis quasi accusamus.
18,4.84,Dolore quas commodi maiores assumenda laboriosam.
19,2.7,Magni sint asperiores laudantium voluptatum distinctio distinctio.
20,4.75,Eum perspiciatis neque.
21,4.79,Dolor incidunt dolore iste quasi pariatur.
22,2.19,Accusantium officiis ipsa.
23,2.99,Dolorum minima quidem voluptates quae.
24,1.15,Officiis soluta perspiciatis qui soluta illo.
25,1.73,A minus recusandae unde.
26,2.85,Iusto consequatur neque excepturi velit.
27,3.93,Eligendi odit suscipit dolorum tempore minus neque.
28,2.54,Harum consequuntur mollitia dignissimos.
29,2.42,Ipsa veniam eum quibusdam officiis.
30,4.45,Tempore officiis autem.
31,3.47,Cum doloremque at ducimus voluptatem aliquam illum.
32,3.65,Illum voluptatum atque laborum consectetur nulla vitae dignissimos.
33,2.6,Cupiditate sequi molestiae repellendus beatae vitae dicta veniam.
34,2.97,Rem nihil earum sed nisi modi quibusdam.
35,1.15,Est repudiandae minus aspernatur.
36,2.2,Porro fuga pariatur numquam.
37,4.12,Quis molestias minus corrupti.
38,3.15,Repellendus aut in expedita eveniet fuga.
39,4.54,Ut at nemo et consectetur iste officiis laudantium.
40,2.26,Placeat adipisci omnis a doloribus.
41,4.2,Officia occaecati optio nesciunt blanditiis nihil iusto.
42,1.51,Labore omnis sunt cupiditate corporis.
43,2.81,Accusamus sunt ex atque.
44,2.35,Sed rerum quos eius aspernatur.
45,3.47,Voluptatum saepe consectetur nesciunt.
46,1.09,Architecto pariatur maxime quas deleniti quos ipsam.
47,3.39,Ipsum est dolor tenetur.
48,4.13,Delectus in cumque nobis nulla sequi rem.
49,4.7,Iusto minus fugiat vitae eum deserunt.
50,4.89,Dolorem sapiente id quod iste.
51,3.35,Omnis illo tempore id eveniet temporibus ipsa.
52,1.92,Laboriosam cumque aperiam accusamus nisi.
53,2.68,Odio maiores sequi a molestiae.
54,3.13,Quae ab magni adipisci.
55,4.38,Molestiae alias assumenda.
56,3.28,Odio voluptatibus tenetur adipisci.
57,2.13,Voluptatum iusto enim maiores aliquam ea nisi.
58,3.69,Similique vitae sint nam doloremque distinctio aliquid harum.
59,4.79,Error odit adipisci ea quaerat nobis.
60,1.4,Temporibus adipisci dicta similique.
61,4.92,Eligendi quae illum molestiae porro saepe.
62,3.87,Facilis delectus magnam ea minima.
63,3.87,Nostrum illo eaque incidunt debitis temporibus.
64,4.77,Eaque quod molestiae ex officia.
65,1.25,Explicabo pariatur voluptas illum dolor voluptates perferendis.
66,2.01,Cumque repellendus libero quos saepe sint.
67,1.3,Hic vero modi voluptas et ullam culpa.
68,4.74,Tempore nesciunt rem deleniti similique tempora.
69,3.04,Quae magnam qui soluta id.
70,4.13,Nulla deserunt unde cum blanditiis ab ab.
