Campanha_ID,Loja_ID,Nome,Canal,Investimento,Vendas Geradas,Data de Início,Data de Fim
1,90,Clássica Impacto Desportiva,TV,436.87,0,2014-02-18 11:31:27,2014-07-22 10:53:18
2,123,Clássica Impacto Inovação,TV,429.61,0,2019-12-16 13:09:35,2020-09-22 13:15:31
3,564,Direta Campanha Cultural,Email Marketing,267.25,0,2016-03-27 10:53:32,2016-08-23 13:33:16
4,750,Direta Campanha Inovação,Email Marketing,837.57,0,2020-05-11 16:14:33,2020-11-21 17:25:51
5,620,Direta Impacto Nacional,Email Marketing,985.03,0,2014-03-22 02:17:12,2014-09-18 03:13:32
6,169,Direta Campanha Retro,Email Marketing,443.76,0,2024-10-20 20:47:51,2024-11-23 08:18:31
7,804,Clássica Impacto Artística,TV,793.84,0,2017-04-07 02:17:29,2017-09-11 11:00:50
8,506,Clássica Impacto Desportiva,TV,288.74,0,2023-11-22 17:14:15,2024-04-21 23:16:41
9,161,Clássica Promoção Clássica,TV,263.57,0,2022-09-01 15:11:52,2023-05-26 02:15:23
10,890,Viral Promoção Vintage,Influenciadores,585.72,0,2020-04-29 23:18:16,2020-07-11 23:24:40
11,670,Conectada Promoção Global,Redes Sociais,231.5,0,2016-06-15 07:04:24,2016-10-30 22:38:21
12,846,Clássica Campanha Cultural,TV,872.04,0,2017-12-01 23:25:53,2018-11-18 11:20:12
13,721,Viral Promoção Online,Influenciadores,371.79,0,2016-08-21 00:10:41,2017-07-29 03:58:10
14,581,Alvo Impacto Vintage,Google Ads,642.38,0,2015-09-10 14:20:23,2015-12-20 07:42:20
15,944,Direta Campanha Familiar,Email Marketing,382.23,0,2022-04-19 00:58:08,2023-01-25 05:47:08
16,495,Clássica Promoção Urbana,TV,870.14,0,2023-08-16 01:29:56,2024-07-30 10:38:53
17,630,Alvo Campanha Fitness,Google Ads,950.47,0,2017-07-13 08:14:03,2018-04-14 04:59:56
18,632,Direta Campanha Familiar,Email Marketing,871.32,0,2017-03-02 00:12:54,2018-01-12 20:13:40
19,984,Direta Promoção Vintage,Email Marketing,878.94,0,2014-06-23 23:04:03,2015-06-18 13:21:19
20,475,Alvo Impacto Desportiva,Google Ads,474.8,0,2016-02-27 06:30:23,2016-04-23 03:22:16
21,708,Alvo Impacto Cultural,Google Ads,739.26,0,2023-09-21 07:54:51,2024-08-22 00:07:19
22,971,Clássica Promoção Gourmet,TV,922.92,0,2017-04-30 06:42:50,2017-11-13 13:56:53
23,953,Clássica Impacto Sustentável,TV,874.23,0,2020-01-03 08:46:05,2020-07-05 14:38:14
24,571,Clássica Promoção Global,TV,695.13,0,2020-06-30 21:24:56,2021-06-22 03:14:43
25,789,Viral Impacto Gourmet,Influenciadores,782.15,0,2021-06-03 10:18:13,2021-07-16 07:47:46
26,478,Clássica Campanha Digital,TV,283.85,0,2016-11-23 09:22:52,2017-05-08 01:18:53
27,19,Alvo Impacto Local,Google Ads,201.2,0,2014-10-25 12:01:31,2015-06-27 19:38:32
28,934,Conectada Promoção Urbana,Redes Sociais,223.1,0,2017-04-12 23:31:07,2017-07-01 17:18:44
29,198,Clássica Impacto Vintage,TV,324.36,0,2017-03-07 01:31:10,2017-12-01 22:28:27
30,164,Clássica Impacto Local,TV,742.93,0,2015-05-29 15:34:30,2015-09-19 20:01:16
31,319,Viral Impacto Nacional,Influenciadores,329.72,0,2015-03-17 11:03:45,2015-10-27 16:35:42
32,162,Conectada Campanha Urbana,Redes Sociais,932.31,0,2019-05-11 13:12:38,2019-11-20 22:13:22
33,144,Viral Impacto Retro,Influenciadores,555.25,0,2023-10-16 17:17:12,2024-06-16 10:02:51
34,652,Conectada Promoção Vintage,Redes Sociais,359.55,0,2014-07-24 19:07:44,2015-02-18 20:15:37
35,396,Viral Impacto Fitness,Influenciadores,900.26,0,2014-08-04 23:08:15,2015-04-02 08:44:33
36,43,Alvo Campanha Rural,Google Ads,346.37,0,2017-03-22 23:05:02,2017-07-20 14:31:59
37,187,Direta Impacto Desportiva,Email Marketing,685.22,0,2019-06-17 21:06:07,2019-12-01 11:44:18
38,439,Clássica Promoção Local,TV,642.22,0,2020-12-11 16:08:31,2021-05-17 18:04:22
39,98,Clássica Campanha Rural,TV,639.59,0,2021-07-08 02:59:39,2022-01-24 04:48:00
40,733,Viral Promoção Familiar,Influenciadores,881.02,0,2014-05-13 01:03:32,2015-03-05 04:42:29
41,143,Clássica Impacto Ecológica,TV,400.57,0,2015-12-03 02:45:19,2016-08-03 12:04:18
