Venda_ID,Loja_ID,Produto_ID,Cliente_ID,Colaborador_ID,Quantidade,Preço Unitário,Data da Venda,Canal de Venda
1,5,775,24,338,81,180.26,2020-02-14 14:46:54,Física
2,1,401,425,298,54,104.39,2016-01-29 19:59:41,Física
3,4,903,291,68,18,952.4,2021-12-19 20:02:31,Online
4,2,158,814,8,14,340.92,2014-11-24 10:51:46,Online
5,5,105,631,110,51,865.68,2015-05-17 11:33:03,Online
6,1,316,507,454,82,465.95,2018-02-19 19:29:13,Física
7,2,621,188,383,43,871.44,2016-11-15 08:53:32,Física
8,2,347,13,342,82,434.07,2014-12-26 09:54:53,Online
9,4,746,191,453,42,916.85,2014-07-05 12:09:15,Online
10,2,159,885,235,6,933.34,2016-08-04 16:34:56,Física
11,1,804,546,214,56,279.2,2015-06-10 19:57:24,Online
12,3,106,610,307,61,97.5,2014-01-04 14:15:35,Física
13,5,265,73,170,100,237.66,2017-03-30 04:28:14,Física
14,1,346,222,296,86,215.06,2014-01-19 12:23:11,Física
15,4,678,200,487,95,525.68,2014-02-22 08:02:36,Física
16,3,565,915,58,56,37.42,2020-04-01 17:16:11,Online
17,3,174,428,26,95,719.41,2020-03-04 19:07:57,Física
18,1,183,287,389,69,611.38,2021-05-24 01:31:18,Online
19,3,344,239,334,75,213.86,2020-07-27 02:34:38,Física
20,2,471,66,342,25,124.54,2014-10-31 18:51:34,Física
21,5,627,913,418,4,595.85,2016-03-12 11:39:17,Online
22,1,348,129,296,15,398.8,2014-08-06 09:19:37,Online
23,3,276,149,373,63,309.5,2021-03-12 23:17:10,Física
24,3,902,490,206,88,837.89,2019-01-08 13:24:41,Física
25,4,869,577,97,8,674.72,2020-04-23 16:33:40,Física
26,4,271,729,433,92,853.57,2020-05-01 06:51:26,Online
27,5,444,43,49,16,382.33,2020-05-15 18:33:16,Online
28,4,709,509,96,75,586.66,2018-08-05 02:24:25,Online
29,1,348,32,444,49,64.76,2020-01-08 02:27:28,Física
30,5,672,436,237,41,393.16,2020-07-24 17:54:44,Física
31,5,951,93,82,50,942.81,2014-10-09 09:37:50,Online
32,2,935,714,424,7,134.68,2014-12-11 06:08:25,Online
33,2,32,60,49,50,125.9,2015-02-09 03:09:38,Física
34,2,326,563,392,72,748.87,2017-12-08 07:43:22,Física
35,5,988,317,305,8,881.59,2021-06-29 18:04:57,Física
36,4,142,111,14,37,615.39,2017-09-01 12:19:28,Física
37,2,131,239,365,51,226.1,2020-01-30 15:21:53,Online
38,2,499,357,160,51,683.82,2020-02-07 15:32:22,Online
39,2,867,202,226,13,642.21,2014-05-03 23:24:40,Online
40,2,168,493,438,90,140.41,2014-06-09 05:49:15,Física
41,2,313,855,155,16,167.93,2014-08-20 17:19:09,Física
42,1,610,948,10,38,731.97,2017-08-18 17:14:24,Física
43,2,428,273,211,97,323.88,2021-01-05 01:19:39,Online
44,4,60,935,308,4,117.96,2015-02-22 03:04:27,Física
45,4,78,786,94,12,92.59,2019-06-18 01:45:16,Online
46,4,460,124,457,43,984.99,2015-05-31 23:16:03,Física
47,4,78,930,153,96,132.29,2015-05-04 06:13:15,Física
48,4,192,388,283,59,245.48,2015-05-13 14:09:03,Física
49,4,399,362,248,87,630.49,2015-03-26 00:21:28,Online
50,4,766,341,303,24,364.37,2016-10-25 20:38:37,Física
51,1,398,411,350,7,938.11,2020-01-18 05:10:38,Física
52,3,788,722,1,42,991.85,2015-09-14 23:08:17,Online
53,2,146,136,414,94,95.0,2018-04-05 13:36:52,Física
54,5,429,217,325,71,64.18,2021-12-31 23:57:25,Física
55,4,319,944,4,87,435.37,2019-04-04 15:25:05,Online
56,2,172,874,141,46,175.67,2015-01-20 01:18:38,Online
57,3,48,782,323,33,260.03,2014-03-08 20:09:49,Online
58,1,944,585,212,28,351.27,2018-03-09 16:18:40,Online
59,1,948,605,495,32,717.68,2014-03-25 14:50:29,Online
60,2,262,699,152,61,949.56,2015-09-29 23:17:22,Online
61,1,190,50,269,95,885.46,2017-08-16 20:20:15,Online
62,2,193,554,430,54,121.25,2020-09-26 13:36:34,Física
63,1,1,884,32,6,771.31,2015-09-05 17:09:23,Física
64,4,672,72,126,51,952.99,2018-11-06 02:33:57,Online
65,3,348,503,137,17,73.46,2016-04-15 20:10:12,Física
66,3,600,989,190,40,387.87,2021-06-13 06:33:12,Física
67,3,960,768,325,50,921.63,2021-10-10 16:31:06,Física
68,3,4,614,396,56,719.31,2021-06-29 17:59:51,Online
69,2,446,819,20,46,139.38,2016-09-02 13:53:13,Online
70,5,571,860,478,81,234.16,2016-07-21 21:50:10,Física
71,3,622,927,54,82,506.66,2014-11-03 16:11:42,Online
72,4,246,597,76,31,71.83,2018-01-10 14:17:33,Online
73,1,93,385,133,1,558.25,2021-11-26 12:26:32,Online
74,4,554,178,372,5,821.93,2017-09-27 08:51:45,Online
75,5,44,228,206,2,579.99,2018-08-23 07:56:22,Online
76,1,37,305,8,42,371.34,2015-06-02 23:59:12,Física
77,1,799,660,354,4,972.51,2014-10-23 13:33:35,Online
78,3,480,662,319,87,659.49,2021-12-28 17:18:55,Online
79,4,391,321,322,25,850.74,2014-09-08 10:25:35,Online
80,1,837,239,11,57,568.33,2018-09-03 20:47:04,Online
81,2,660,916,198,19,217.21,2017-01-04 02:34:16,Física
82,3,197,471,233,62,215.34,2015-07-03 10:20:05,Online
83,3,751,360,449,26,880.35,2014-06-05 14:55:17,Online
84,2,24,572,104,68,168.91,2018-12-25 08:40:09,Online
85,2,792,812,193,34,820.68,2016-04-30 14:37:25,Física
86,3,902,387,482,18,950.9,2021-05-22 21:58:03,Física
87,3,633,529,289,8,522.44,2020-01-05 19:31:56,Física
88,1,977,819,64,82,274.78,2020-04-02 18:00:55,Online
89,2,794,307,27,71,921.52,2016-03-06 19:49:26,Física
90,4,537,638,50,49,497.09,2021-08-18 22:19:37,Online
91,3,479,211,313,70,481.47,2015-11-15 14:46:22,Online
92,2,810,142,312,7,137.97,2021-10-05 11:13:24,Online
93,2,173,794,54,43,927.92,2021-05-04 11:43:16,Física
94,4,556,901,384,72,97.38,2020-09-09 17:08:59,Online
95,3,626,91,420,88,481.86,2016-05-28 01:58:09,Física
96,4,727,43,470,90,421.33,2021-06-02 17:11:53,Online
97,2,882,521,194,3,520.49,2020-02-17 03:40:22,Física
98,4,347,89,152,5,983.98,2020-08-05 17:39:16,Online
99,3,307,656,293,2,643.97,2017-06-11 22:09:53,Online
100,2,863,256,198,27,824.26,2015-09-11 18:03:42,Física
101,5,27,899,288,24,518.87,2016-12-15 17:28:20,Física
102,3,825,813,299,57,183.32,2014-09-05 07:44:21,Online
103,2,532,857,390,72,305.94,2019-04-11 13:36:49,Online
104,4,914,537,136,73,102.24,2017-11-30 00:42:43,Online
105,2,363,32,339,58,70.84,2018-09-09 02:50:05,Física
106,1,250,262,413,81,699.3,2019-04-13 11:15:53,Online
107,2,314,636,297,85,819.82,2019-09-21 16:03:07,Online
108,5,27,984,16,88,413.55,2014-03-31 20:50:56,Online
109,5,92,187,441,17,603.02,2017-02-21 19:17:46,Online
110,5,842,237,466,16,633.58,2020-07-29 05:42:25,Física
111,4,461,725,153,100,644.78,2014-08-10 08:06:55,Online
112,5,99,742,80,34,567.69,2019-10-22 01:27:20,Física
113,2,871,784,376,53,914.99,2017-05-05 05:31:25,Online
114,4,621,92,465,93,274.4,2018-01-26 23:46:08,Online
115,4,820,614,360,38,610.08,2014-10-01 21:32:22,Física
116,5,298,796,280,92,667.43,2020-11-26 08:49:16,Física
117,1,832,38,278,17,358.95,2019-01-06 06:49:31,Online
118,1,800,496,183,6,863.71,2020-04-12 22:51:45,Física
119,4,821,614,33,66,815.91,2019-12-21 17:36:16,Física
120,1,909,342,133,36,358.98,2016-12-17 15:22:58,Física
121,2,871,326,110,24,386.58,2019-08-22 06:40:09,Física
122,2,833,998,410,91,265.91,2020-08-11 21:08:44,Online
123,1,945,852,425,97,362.32,2017-02-26 20:02:12,Física
124,1,738,786,262,53,776.94,2016-01-27 02:07:21,Online
125,3,694,403,49,12,722.49,2017-05-18 06:01:45,Online
126,5,894,542,405,52,439.0,2016-07-12 09:51:34,Online
127,3,464,969,129,3,559.29,2018-12-06 17:38:55,Física
128,2,442,955,100,79,290.12,2017-11-03 02:21:53,Online
129,4,979,461,104,98,58.92,2019-10-02 21:56:19,Física
130,2,264,375,450,25,528.25,2019-09-12 17:01:29,Online
131,1,642,345,485,65,511.66,2020-03-25 17:27:06,Online
132,3,349,289,148,47,109.83,2019-03-16 20:39:47,Física
133,1,947,140,194,46,876.64,2018-11-02 20:26:42,Física
134,2,908,989,20,72,259.32,2020-08-27 16:08:26,Física
135,5,257,233,93,42,552.78,2014-12-01 21:54:14,Online
136,2,797,898,260,24,607.67,2015-04-02 08:38:55,Física
137,3,164,466,369,58,964.44,2015-02-23 05:20:38,Online
138,1,431,593,101,66,843.05,2020-08-06 02:22:24,Online
139,4,147,818,159,15,36.81,2019-02-04 03:46:05,Física
140,1,32,661,458,30,473.89,2014-08-14 23:41:20,Física
141,4,303,37,65,13,174.18,2021-02-04 00:27:04,Física
142,3,191,484,488,29,876.6,2020-03-07 15:27:52,Física
143,3,882,421,325,36,350.92,2018-10-29 05:08:04,Física
144,1,399,320,169,51,765.85,2015-01-03 18:24:33,Online
145,5,776,401,91,99,794.53,2015-01-10 22:38:17,Física
146,3,942,441,129,21,181.66,2021-06-02 15:20:39,Física
147,3,673,826,292,88,624.88,2014-08-16 09:46:40,Física
148,2,348,874,101,34,525.18,2014-10-30 05:36:53,Online
149,3,380,62,445,16,550.12,2015-11-09 22:45:59,Física
150,2,116,815,447,86,591.0,2014-06-21 17:01:02,Online
151,1,408,421,261,77,214.5,2016-10-08 16:50:52,Online
152,5,789,511,186,57,282.36,2016-06-13 14:31:05,Online
153,1,527,495,262,92,878.96,2021-11-04 17:47:03,Online
154,5,208,441,318,55,256.99,2016-09-30 19:25:21,Online
155,4,345,60,12,71,760.69,2018-05-06 16:05:39,Online
156,3,612,948,478,6,342.09,2019-09-09 12:39:41,Física
157,1,304,114,257,30,265.06,2017-08-26 02:38:12,Física
158,3,331,153,304,58,120.39,2021-04-13 14:58:06,Física
159,2,905,665,135,35,947.74,2014-06-10 05:29:13,Online
160,3,905,705,384,84,69.76,2015-09-03 20:15:03,Online
161,4,198,650,471,42,500.9,2015-04-20 00:01:09,Online
162,5,725,153,186,88,467.55,2018-01-03 23:26:23,Física
163,4,108,61,296,17,651.53,2018-07-25 08:59:29,Física
164,4,421,110,281,51,684.09,2015-12-21 05:23:11,Online
165,5,862,807,322,58,246.86,2015-09-17 05:41:51,Online
166,1,619,735,278,71,83.19,2015-08-23 10:45:17,Física
167,3,154,442,319,25,299.9,2014-07-04 08:08:49,Online
168,2,467,959,124,62,758.94,2020-09-17 14:45:13,Online
169,4,840,347,399,10,398.88,2018-04-26 11:33:14,Online
170,1,531,405,236,76,695.49,2021-01-17 19:48:41,Física
171,2,667,885,398,74,329.72,2021-01-05 05:19:41,Física
172,1,645,437,342,95,255.33,2018-02-16 13:27:33,Física
173,1,760,386,467,92,541.84,2017-10-30 10:57:29,Física
174,1,199,812,165,6,957.43,2020-04-29 00:36:55,Física
175,2,677,929,61,19,492.8,2018-08-14 13:34:57,Online
176,4,853,198,453,66,935.26,2017-11-28 04:49:21,Física
177,5,569,197,406,24,793.48,2017-05-23 05:12:46,Física
178,3,138,231,446,42,409.45,2014-12-19 19:47:09,Física
179,4,107,454,55,13,735.97,2015-12-30 09:49:42,Online
180,2,714,431,56,32,842.39,2020-05-04 00:09:25,Física
181,5,832,398,4,13,40.12,2021-09-18 00:01:58,Física
182,5,267,598,39,100,64.97,2018-06-25 03:31:26,Online
183,4,135,810,454,93,109.5,2016-04-22 10:21:15,Online
184,1,396,218,336,64,923.56,2016-07-09 21:48:52,Física
185,1,201,492,331,54,699.49,2019-03-17 09:02:57,Física
186,4,299,894,163,62,172.5,2021-12-27 05:03:02,Física
187,5,67,799,259,45,296.46,2016-05-06 22:59:23,Física
188,2,991,496,116,55,734.65,2015-01-12 14:02:42,Física
189,3,365,27,122,67,263.81,2014-10-17 15:30:07,Online
190,3,974,369,233,41,892.33,2020-09-20 07:37:57,Física
191,2,281,953,486,85,146.51,2018-09-04 05:37:48,Online
192,3,179,986,343,35,969.57,2016-10-15 18:47:37,Online
193,4,882,784,117,37,986.5,2014-09-18 10:58:55,Física
194,3,600,182,337,22,369.86,2021-10-21 17:59:49,Online
195,2,745,183,165,37,281.23,2019-12-05 14:59:20,Online
196,5,990,355,455,98,252.78,2020-04-21 06:35:59,Online
197,2,739,497,339,32,355.22,2019-11-13 08:20:48,Física
198,4,542,636,437,92,213.16,2017-09-08 06:42:06,Online
199,3,570,717,221,59,50.13,2016-07-20 10:10:30,Online
200,5,753,804,59,11,685.25,2016-02-17 20:21:07,Online
201,5,124,312,366,79,303.36,2017-05-18 09:41:01,Online
202,1,50,576,293,99,749.83,2019-08-29 20:09:14,Online
203,3,875,163,215,68,990.52,2015-03-30 23:37:31,Física
204,4,523,449,262,27,869.37,2021-07-16 06:48:27,Física
205,2,611,206,73,75,134.37,2019-09-15 22:06:56,Física
206,4,394,394,61,61,64.45,2021-08-23 05:57:20,Online
207,5,608,695,199,78,977.1,2020-08-29 04:21:37,Física
208,2,814,897,85,68,859.31,2017-10-16 07:27:08,Física
209,4,501,349,55,72,483.97,2019-12-24 14:12:41,Física
210,1,940,673,444,99,887.72,2017-11-08 10:35:28,Online
211,2,574,390,172,2,20.75,2016-10-06 01:29:05,Física
212,3,572,77,429,35,423.3,2016-07-26 19:06:17,Online
213,5,666,918,229,72,138.52,2018-01-09 09:43:21,Física
214,1,253,325,345,86,386.93,2020-10-05 19:51:07,Física
215,5,353,172,115,47,17.79,2020-07-10 13:20:43,Física
216,2,454,325,68,5,172.0,2015-10-08 16:55:25,Online
217,1,892,517,22,42,545.16,2016-10-18 19:08:54,Física
218,2,52,146,248,24,399.94,2014-11-20 22:04:43,Física
219,4,673,614,307,20,643.28,2015-10-07 08:23:50,Online
220,1,261,16,433,64,985.48,2017-08-08 06:22:26,Física
221,5,453,663,247,88,469.11,2019-02-06 23:58:24,Física
222,1,983,219,381,13,125.04,2014-08-22 06:58:41,Online
223,5,218,202,136,78,542.56,2018-12-27 13:12:10,Online
224,4,62,992,365,42,59.82,2019-01-26 20:21:51,Online
225,5,191,500,279,33,606.52,2014-12-06 05:10:05,Física
226,1,666,342,367,14,676.75,2017-06-04 08:09:48,Física
227,2,359,434,29,84,852.33,2019-08-22 09:57:21,Física
228,2,191,202,184,79,225.89,2021-06-24 23:23:32,Física
229,5,450,46,299,44,953.6,2021-04-04 08:15:32,Física
230,5,31,230,446,20,148.59,2014-04-27 17:00:07,Online
231,5,890,51,484,24,741.71,2018-10-22 13:26:51,Online
232,1,819,784,111,94,886.28,2014-02-28 05:26:58,Online
233,3,231,712,168,66,510.11,2016-03-03 01:35:17,Física
234,4,396,274,138,21,188.87,2016-05-06 14:10:49,Física
235,5,353,445,442,51,879.92,2014-03-14 04:23:50,Online
236,4,914,473,475,37,398.24,2019-12-16 21:42:06,Física
237,4,693,971,145,7,61.07,2016-08-12 07:46:23,Online
238,3,213,671,467,13,437.89,2015-08-02 12:06:12,Online
239,3,228,420,14,99,756.65,2017-04-11 12:26:52,Online
240,5,860,361,484,58,283.21,2016-06-18 01:16:45,Online
241,4,843,68,58,35,9.12,2014-04-12 04:06:06,Física
242,5,237,176,183,97,587.92,2017-04-10 12:10:06,Física
243,5,358,989,343,68,36.02,2015-07-01 23:20:31,Física
244,3,189,51,315,41,186.03,2016-02-17 04:15:57,Online
245,5,407,575,448,92,969.37,2015-06-22 15:46:02,Online
246,4,870,835,93,59,11.2,2016-09-09 14:22:58,Online
247,4,576,740,95,37,757.66,2018-04-26 17:35:59,Online
248,3,373,560,326,37,942.26,2017-05-02 08:38:01,Online
249,4,139,493,141,49,942.86,2020-05-20 20:19:36,Online
250,3,186,172,231,85,564.83,2014-06-23 14:52:39,Online
251,1,482,886,489,46,750.01,2021-05-12 06:22:45,Online
252,3,4,489,444,35,815.31,2017-06-26 06:15:05,Online
253,5,594,837,353,81,547.32,2015-05-15 12:30:11,Online
254,2,794,929,177,48,724.19,2021-11-28 21:26:42,Física
255,2,538,392,346,51,264.95,2016-03-07 09:55:25,Física
256,1,84,120,449,14,168.97,2020-01-13 06:28:18,Física
257,1,176,911,463,8,736.57,2021-05-30 19:34:13,Online
258,5,504,560,117,69,412.65,2017-02-22 04:07:05,Online
259,3,772,24,177,30,187.77,2018-01-15 06:54:59,Online
260,3,55,295,336,56,883.03,2015-10-24 00:32:09,Online
261,4,916,14,291,67,797.06,2021-03-04 19:39:36,Física
262,3,259,133,203,92,728.87,2019-07-24 09:05:32,Online
263,2,863,479,473,41,933.13,2015-06-08 16:31:25,Online
264,1,321,400,58,81,127.53,2015-03-06 00:41:30,Física
265,2,199,718,16,21,629.04,2020-10-18 05:17:02,Física
266,2,157,123,185,61,243.6,2020-05-01 11:24:36,Online
267,4,19,551,209,84,25.44,2019-08-09 23:28:12,Física
268,3,893,999,36,41,441.84,2020-07-10 09:28:09,Online
269,3,852,353,327,96,374.73,2020-01-07 18:21:14,Online
270,3,886,756,34,53,555.64,2015-10-08 11:46:28,Física
271,2,200,19,309,70,964.22,2015-10-24 12:52:10,Online
