Produto_ID,Nome,Categoria,Cor,Descrição,Tamanho,Preço,Custo_Aquisição,Imagem
1,Qui,Roupas,Verde,Doloribus dignissimos voluptatem.,XS,71.3,17.39,https://source.unsplash.com/200x200/?roupas
2,Id,Calçado,Azul,Id ratione expedita labore explicabo asperiores voluptatem.,44,33.82,39.87,https://source.unsplash.com/200x200/?calçado
3,Aliquam,Roupas,Preto,Culpa inventore eum eum impedit quos.,XS,78.52,48.01,https://source.unsplash.com/200x200/?roupas
4,Iure,Calçado,Verde,Consequatur voluptatum ipsam expedita debitis praesentium.,44,31.65,40.29,https://source.unsplash.com/200x200/?calçado
5,Deleniti,Roupas,Branco,Omnis cum distinctio impedit illo hic ipsam.,M,74.78,10.63,https://source.unsplash.com/200x200/?roupas
6,Voluptate,Roupas,Vermelho,Tempora dolores aspernatur.,M,32.23,19.21,https://source.unsplash.com/200x200/?roupas
7,Ipsam,Roupas,Laranja,Laboriosam ipsum quisquam nemo illo.,XL,28.01,16.41,https://source.unsplash.com/200x200/?roupas
8,Optio,Calçado,Vermelho,Adipisci enim minus quisquam assumenda.,35,86.41,37.93,https://source.unsplash.com/200x200/?calçado
9,Aliquam,Calçado,Rosa,Hic excepturi veritatis necessitatibus unde voluptate quis.,36,95.57,18.6,https://source.unsplash.com/200x200/?calçado
10,Animi,Roupas,Rosa,Similique iure blanditiis modi omnis.,XL,89.35,43.99,https://source.unsplash.com/200x200/?roupas
11,Sint,Calçado,Laranja,Amet ipsa iure suscipit quod repellendus error.,44,69.23,34.76,https://source.unsplash.com/200x200/?calçado
12,Quisquam,Roupas,Verde,Nam in ipsum voluptas quis.,L,34.62,15.05,https://source.unsplash.com/200x200/?roupas
13,Mollitia,Calçado,Amarelo,Commodi cumque optio cum at dolorem eligendi unde.,43,98.16,26.53,https://source.unsplash.com/200x200/?calçado
14,Exercitationem,Calçado,Branco,Laboriosam voluptatem optio pariatur.,37,65.64,17.19,https://source.unsplash.com/200x200/?calçado
15,Atque,Roupas,Branco,In et cum quos.,XXL,41.46,12.89,https://source.unsplash.com/200x200/?roupas
16,Error,Roupas,Amarelo,Ipsum velit perspiciatis ipsa rem.,L,36.4,30.52,https://source.unsplash.com/200x200/?roupas
17,A,Roupas,Amarelo,Cumque odio aspernatur at libero rem in.,XL,88.75,41.77,https://source.unsplash.com/200x200/?roupas
18,Dolores,Roupas,Laranja,Recusandae assumenda commodi cumque.,L,44.25,18.38,https://source.unsplash.com/200x200/?roupas
19,Repudiandae,Calçado,Vermelho,Cum sapiente eius.,35,42.25,43.72,https://source.unsplash.com/200x200/?calçado
20,Nostrum,Roupas,Amarelo,Atque veritatis recusandae provident sunt.,M,25.14,39.42,https://source.unsplash.com/200x200/?roupas
21,Fugiat,Calçado,Azul,Cupiditate tempore esse id.,36,39.0,41.55,https://source.unsplash.com/200x200/?calçado
