Venda_ID,Loja_ID,Produto_ID,Cliente_ID,Colaborador_ID,Quantidade,Preço Unitário,Data da Venda,Canal de Venda
1,1,259,41,499,30,175.88,2020-04-19 13:51:40,Online
2,1,898,308,207,90,83.19,2016-05-16 04:52:08,Física
3,3,357,910,477,88,682.42,2018-11-30 17:45:41,Online
4,1,490,914,354,63,365.5,2024-12-31 15:53:01,Online
5,4,341,92,384,47,182.52,2019-03-21 17:00:00,Física
6,1,372,58,471,74,148.25,2017-08-22 14:16:52,Online
7,5,506,143,413,62,841.36,2017-10-30 01:15:12,Online
8,1,833,903,335,62,340.15,2018-06-05 18:07:10,Online
9,1,560,672,125,68,81.98,2022-11-23 18:16:01,Física
10,3,911,494,393,85,217.73,2022-05-31 02:30:43,Online
11,2,743,565,16,36,346.65,2019-12-17 18:18:24,Física
12,5,985,436,388,52,917.16,2022-07-21 09:53:14,Física
13,3,343,833,102,84,480.28,2024-11-04 12:52:40,Física
14,3,162,836,62,49,105.68,2018-03-21 08:16:40,Física
15,5,647,289,360,50,428.63,2023-09-03 22:09:37,Física
16,2,82,336,296,16,874.05,2023-08-25 14:41:25,Física
17,1,207,975,200,87,23.34,2017-03-10 04:22:37,Física
18,3,189,689,119,25,546.54,2021-09-13 07:59:11,Física
19,3,810,76,145,12,564.32,2018-06-09 06:27:50,Online
20,2,71,107,196,88,236.24,2014-10-28 17:09:51,Física
21,4,743,341,12,93,757.58,2017-12-16 05:11:10,Física
22,4,482,362,456,97,814.23,2018-01-21 03:09:52,Física
23,3,20,60,108,13,286.32,2015-09-11 06:27:03,Online
24,4,694,124,158,9,803.06,2024-10-02 10:29:19,Online
25,1,754,589,173,8,603.99,2021-03-01 16:43:12,Online
26,5,426,812,19,51,357.96,2021-06-09 19:33:57,Online
27,3,553,128,19,5,140.71,2023-05-24 15:03:30,Online
28,4,182,327,404,90,219.71,2014-08-21 16:40:40,Online
29,5,169,544,338,92,576.32,2022-07-22 16:07:22,Online
30,2,135,318,62,85,891.72,2023-06-02 07:05:59,Física
31,2,431,240,218,51,304.09,2023-12-06 06:15:43,Física
32,1,356,368,446,22,715.17,2023-03-31 10:09:49,Online
33,2,771,770,156,34,82.86,2016-01-12 05:02:41,Física
34,5,149,289,7,51,847.32,2022-03-08 08:07:58,Online
35,3,56,815,350,24,476.64,2017-03-29 04:22:33,Online
36,2,652,822,262,76,337.18,2021-12-15 06:50:08,Física
37,4,588,912,295,1,880.01,2015-03-01 01:18:35,Física
38,4,136,687,381,19,203.71,2021-02-11 13:28:53,Online
39,5,805,693,376,1,721.19,2014-11-09 08:54:09,Online
40,4,813,959,114,22,343.33,2021-05-05 02:01:41,Física
41,5,274,673,346,93,706.11,2016-10-09 01:58:08,Online
42,4,160,42,342,89,788.19,2016-04-08 11:35:16,Física
43,2,425,844,24,58,278.76,2019-08-31 13:12:06,Online
44,2,78,900,65,39,141.59,2021-05-29 04:57:06,Física
45,3,704,227,9,38,909.61,2015-12-12 19:36:09,Online
46,3,936,53,236,23,68.91,2016-03-16 09:06:04,Física
47,3,27,89,99,74,530.58,2018-10-11 08:30:32,Online
48,4,222,721,28,72,375.12,2016-10-26 04:54:36,Física
49,3,422,207,415,30,868.9,2019-04-03 19:08:49,Online
50,5,391,554,95,57,923.27,2020-08-28 20:44:26,Online
51,3,693,94,82,26,892.28,2016-04-06 03:53:07,Física
52,4,737,938,117,7,286.11,2023-09-03 22:57:08,Online
53,2,885,54,73,76,604.14,2021-01-05 21:05:02,Física
54,2,30,658,42,38,872.8,2014-12-16 19:31:19,Online
55,5,731,676,61,57,989.81,2017-04-20 18:47:08,Online
56,3,369,134,216,95,601.69,2018-03-23 18:46:15,Online
57,3,116,295,488,4,523.56,2016-07-01 23:24:09,Online
58,5,476,861,450,57,950.98,2016-02-13 07:57:44,Física
59,1,881,625,307,27,633.13,2017-02-07 05:38:29,Física
60,1,952,52,160,21,918.83,2015-03-10 04:07:24,Online
61,3,122,224,247,100,671.84,2015-09-11 04:47:42,Online
62,5,601,470,386,57,787.39,2018-03-22 23:29:11,Online
63,5,969,611,400,91,388.38,2014-10-10 18:30:33,Física
64,2,120,220,174,90,914.78,2021-09-08 22:29:32,Física
65,1,208,203,45,67,855.13,2024-02-25 08:16:31,Física
66,5,25,356,177,10,566.14,2014-09-30 20:19:44,Física
67,2,174,284,54,50,263.75,2017-11-14 02:33:44,Online
68,5,325,502,499,37,785.28,2023-04-11 13:14:39,Online
69,4,245,98,53,68,699.46,2018-10-20 04:18:12,Física
70,1,986,131,493,22,720.75,2019-08-12 13:38:05,Física
71,1,52,754,449,44,390.78,2017-05-11 13:05:05,Física
72,4,961,898,402,83,990.22,2024-11-29 22:02:47,Online
73,1,214,59,124,3,278.77,2018-07-04 08:46:56,Online
74,4,264,707,427,76,225.11,2020-11-09 14:07:06,Física
75,3,875,609,68,78,258.77,2016-12-27 23:55:02,Física
76,2,974,862,317,67,231.97,2018-10-22 20:43:26,Online
77,4,847,810,133,20,710.04,2020-10-09 17:31:01,Online
78,1,143,970,265,72,584.68,2018-08-16 22:59:04,Online
79,1,307,211,16,95,702.79,2017-04-23 20:45:53,Online
80,4,988,630,171,97,507.18,2024-07-15 04:51:57,Online
81,4,105,21,194,29,149.58,2023-12-13 19:29:21,Física
82,2,165,446,177,41,38.88,2015-03-13 21:32:09,Física
83,3,666,883,262,72,666.36,2019-05-07 23:55:14,Física
84,5,81,48,268,53,163.58,2024-07-17 03:20:27,Física
85,3,685,771,401,17,510.39,2023-10-28 21:55:42,Online
86,5,222,441,252,44,616.57,2020-07-15 02:54:41,Online
87,1,323,577,135,13,458.33,2019-04-11 00:41:11,Física
88,5,80,160,373,64,390.86,2020-10-04 09:31:58,Online
89,4,653,513,83,39,193.73,2022-10-27 16:15:25,Física
90,3,122,971,233,36,260.59,2024-01-23 06:53:20,Online
91,3,451,926,85,44,727.03,2022-03-12 20:18:18,Física
92,1,829,175,440,18,679.62,2024-07-24 04:51:39,Física
93,1,881,129,120,33,76.9,2022-09-19 11:20:14,Online
94,3,30,737,203,9,145.23,2023-04-25 11:10:22,Online
95,5,266,219,248,58,155.72,2019-11-11 19:58:55,Online
96,1,217,63,442,71,271.45,2022-03-27 07:03:35,Online
97,1,721,404,45,56,297.27,2024-03-11 15:19:52,Física
98,4,396,67,217,83,78.85,2017-10-04 16:55:16,Online
99,2,469,729,447,61,909.75,2021-01-26 22:46:30,Online
100,1,333,938,314,92,632.97,2023-01-17 07:13:47,Física
101,5,537,704,404,8,465.79,2017-01-25 03:58:00,Online
102,2,892,541,77,26,21.7,2019-11-11 23:07:03,Online
